datetime_utc,symbol,income_type,income,asset,strategy_id,strategy_name
2026-02-10T03:31:55+00:00,BNBUSDT,COMMISSION,-0.0220696,USDT,unknown,unknown
2026-02-10T03:31:55+00:00,BNBUSDT,COMMISSION,-0.0063056,USDT,unknown,unknown
2026-02-10T03:31:55+00:00,BNBUSDT,COMMISSION,-0.0094584,USDT,unknown,unknown
2026-02-10T03:31:55+00:00,BNBUSDT,COMMISSION,-0.0378336,USDT,unknown,unknown
2026-02-10T03:48:55+00:00,LINKUSDT,COMMISSION,-0.1199964,USDT,unknown,unknown
2026-02-10T03:55:31+00:00,BNBUSDT,REALIZED_PNL,-0.7575,USDT,unknown,unknown
2026-02-10T03:55:31+00:00,BNBUSDT,COMMISSION,-0.07919875,USDT,unknown,unknown
2026-02-10T04:00:41+00:00,LINKUSDT,REALIZED_PNL,-0.12312,USDT,unknown,unknown
2026-02-10T04:00:41+00:00,LINKUSDT,REALIZED_PNL,-0.06858,USDT,unknown,unknown
2026-02-10T04:00:41+00:00,LINKUSDT,REALIZED_PNL,-0.06264,USDT,unknown,unknown
2026-02-10T04:00:41+00:00,LINKUSDT,REALIZED_PNL,-0.49356,USDT,unknown,unknown
2026-02-10T04:00:41+00:00,LINKUSDT,COMMISSION,-0.01981548,USDT,unknown,unknown
2026-02-10T04:00:41+00:00,LINKUSDT,COMMISSION,-0.01103757,USDT,unknown,unknown
2026-02-10T04:00:41+00:00,LINKUSDT,COMMISSION,-0.01008156,USDT,unknown,unknown
2026-02-10T04:00:41+00:00,LINKUSDT,COMMISSION,-0.07943574,USDT,unknown,unknown
2026-02-10T04:01:55+00:00,BNBUSDT,COMMISSION,-0.0791775,USDT,unknown,unknown
2026-02-10T04:11:41+00:00,BNBUSDT,REALIZED_PNL,-0.0747,USDT,unknown,unknown
2026-02-10T04:11:41+00:00,BNBUSDT,REALIZED_PNL,-0.4731,USDT,unknown,unknown
2026-02-10T04:11:41+00:00,BNBUSDT,COMMISSION,-0.00953864,USDT,unknown,unknown
2026-02-10T04:11:41+00:00,BNBUSDT,COMMISSION,-0.06041145,USDT,unknown,unknown
2026-02-10T04:32:55+00:00,DOGEUSDT,COMMISSION,-0.00014278,USDT,unknown,unknown
2026-02-10T04:32:55+00:00,DOGEUSDT,COMMISSION,-0.00499747,USDT,unknown,unknown
2026-02-10T04:32:55+00:00,DOGEUSDT,COMMISSION,-0.09485683,USDT,unknown,unknown
2026-02-10T04:40:48+00:00,LTCUSDT,COMMISSION,-0.09997779,USDT,unknown,unknown
2026-02-10T04:41:02+00:00,AVAXUSDT,COMMISSION,-0.116142,USDT,unknown,unknown
2026-02-10T04:50:09+00:00,AVAXUSDT,REALIZED_PNL,-0.702,USDT,unknown,unknown
2026-02-10T04:50:09+00:00,AVAXUSDT,COMMISSION,-0.116493,USDT,unknown,unknown
