hour_start_ist,hour_ist,realized_pnl,last_updated_ist
2026-02-09 00:00,00,0.0134,2026-02-10T10:32:09.070520+05:30
2026-02-09 12:00,12,1.4489100000000001,2026-02-10T10:32:09.070520+05:30
2026-02-09 13:00,13,1.5354249100000006,2026-02-10T10:32:09.070520+05:30
2026-02-09 14:00,14,1.01900516,2026-02-10T10:32:09.070520+05:30
2026-02-09 15:00,15,1.0890300000000002,2026-02-10T10:32:09.070520+05:30
2026-02-09 16:00,16,0.84328,2026-02-10T10:32:09.070520+05:30
2026-02-09 17:00,17,0.6110953,2026-02-10T10:32:09.070520+05:30
2026-02-09 18:00,18,0.56669472,2026-02-10T10:32:09.070520+05:30
2026-02-09 19:00,19,0.0900600000000003,2026-02-10T10:32:09.070520+05:30
2026-02-09 20:00,20,-0.98768999,2026-02-10T10:32:09.070520+05:30
2026-02-09 22:00,22,2.6412900100000005,2026-02-10T10:32:09.070520+05:30
2026-02-09 23:00,23,1.25853,2026-02-10T10:32:09.070520+05:30
2026-02-10 01:00,01,-1.6785600099999998,2026-02-10T10:32:09.070520+05:30
2026-02-10 02:00,02,-0.16599999,2026-02-10T10:32:09.070520+05:30
2026-02-10 03:00,03,0.29979999999999996,2026-02-10T10:32:09.070520+05:30
2026-02-10 04:00,04,0.6071,2026-02-10T10:32:09.070520+05:30
2026-02-10 05:00,05,0.30619999999999997,2026-02-10T10:32:09.070520+05:30
2026-02-10 06:00,06,0.025920000000000054,2026-02-10T10:32:09.070520+05:30
2026-02-10 07:00,07,0.10508995,2026-02-10T10:32:09.070520+05:30
2026-02-10 08:00,08,2.7262500000000003,2026-02-10T10:32:09.070520+05:30
2026-02-10 09:00,09,0.5383800000000001,2026-02-10T10:32:09.070520+05:30
2026-02-10 10:00,10,-1.18523,2026-02-10T10:32:09.070520+05:30
