symbol,realized_pnl,funding,fees,total_pnl
ETHUSDT,7.066129910000001,0.0,-3.4620628599999987,3.604067050000002
DOGEUSDT,3.3108500600000004,0.0,-2.53958348,0.7712665800000003
SOLUSDT,3.69160002,0.0,-3.72596272,-0.03436269999999997
XRPUSDT,0.5353000000000001,0.0,-0.5795458,-0.04424579999999989
AVAXUSDT,-0.702,0.0,-0.23263499999999998,-0.9346349999999999
LTCUSDT,-0.48797999999999997,0.0,-0.53996117,-1.02794117
ADAUSDT,-1.36639999,-0.0261304,-0.6786450700000001,-2.07117546
BNBUSDT,0.5452000199999998,0.0,-2.6213054500000013,-2.0761054300000015
LINKUSDT,-0.40148996000000015,0.00291543,-2.544156630000001,-2.9427311600000015
