datetime,symbol,side,qty,price,cost,fee_cost,fee_currency
2026-02-09T13:03:04.987Z,ETH/USDT:USDT,buy,0.039,2031.68,79.23552,0.03961776,USDT
2026-02-09T13:03:05.903Z,DOGE/USDT:USDT,sell,80.0,0.094,7.52,0.00376,USDT
2026-02-09T13:03:05.903Z,DOGE/USDT:USDT,sell,1196.0,0.094,112.424,0.056212,USDT
2026-02-09T13:11:06.560Z,LINK/USDT:USDT,buy,13.95,8.623,120.29085,0.06014542,USDT
2026-02-09T13:11:08.334Z,DOGE/USDT:USDT,buy,108.0,0.0943,10.1844,0.0050922,USDT
2026-02-09T13:11:08.334Z,DOGE/USDT:USDT,buy,104.0,0.0943,9.8072,0.0049036,USDT
2026-02-09T13:11:08.334Z,DOGE/USDT:USDT,buy,54.0,0.0943,5.0922,0.0025461,USDT
2026-02-09T13:11:08.334Z,DOGE/USDT:USDT,buy,54.0,0.0943,5.0922,0.0025461,USDT
2026-02-09T13:11:08.334Z,DOGE/USDT:USDT,buy,100.0,0.0943,9.43,0.00471499,USDT
2026-02-09T13:11:08.334Z,DOGE/USDT:USDT,buy,125.0,0.0943,11.7875,0.00589375,USDT
2026-02-09T13:11:08.334Z,DOGE/USDT:USDT,buy,113.0,0.0943,10.6559,0.00532795,USDT
2026-02-09T13:11:08.334Z,DOGE/USDT:USDT,buy,59.0,0.0943,5.5637,0.00278185,USDT
2026-02-09T13:11:08.334Z,DOGE/USDT:USDT,buy,559.0,0.0943,52.7137,0.02635685,USDT
2026-02-09T13:11:09.665Z,SOL/USDT:USDT,sell,0.95,84.46,80.237,0.0401185,USDT
2026-02-09T13:13:29.731Z,ETH/USDT:USDT,sell,0.039,2046.19,79.80141,0.0399007,USDT
2026-02-09T13:13:49.336Z,DOGE/USDT:USDT,sell,1058.0,0.09446,99.93868,0.04996934,USDT
2026-02-09T13:13:50.243Z,ETH/USDT:USDT,buy,0.048,2045.59,98.18832,0.04909416,USDT
2026-02-09T13:13:51.149Z,LINK/USDT:USDT,buy,4.53,8.642,39.14826,0.01957412,USDT
2026-02-09T13:13:51.149Z,LINK/USDT:USDT,buy,7.04,8.642,60.83968,0.03041984,USDT
2026-02-09T13:24:45.899Z,ETH/USDT:USDT,sell,0.048,2049.19,98.36112,0.04918056,USDT
2026-02-09T13:29:02.141Z,DOGE/USDT:USDT,buy,104.0,0.09427,9.80408,0.00490204,USDT
2026-02-09T13:29:02.141Z,DOGE/USDT:USDT,buy,108.0,0.09427,10.18116,0.00509058,USDT
2026-02-09T13:29:02.141Z,DOGE/USDT:USDT,buy,846.0,0.09427,79.75242,0.03987621,USDT
2026-02-09T13:29:02.475Z,LINK/USDT:USDT,sell,11.57,8.636,99.91852,0.04995926,USDT
2026-02-09T13:29:03.224Z,LINK/USDT:USDT,sell,11.57,8.636,99.91852,0.04995926,USDT
2026-02-09T13:29:04.136Z,DOGE/USDT:USDT,sell,1221.0,0.09426,115.09146,0.05754573,USDT
2026-02-09T13:29:04.136Z,DOGE/USDT:USDT,sell,51.0,0.09426,4.80726,0.00240363,USDT
2026-02-09T13:48:42.562Z,DOGE/USDT:USDT,buy,1058.0,0.09388,99.32504,0.04966252,USDT
2026-02-09T13:51:54.048Z,LINK/USDT:USDT,buy,8.23,8.585,70.65455,0.03532727,USDT
2026-02-09T13:51:54.048Z,LINK/USDT:USDT,buy,3.34,8.585,28.6739,0.01433695,USDT
2026-02-09T13:52:02.600Z,ETH/USDT:USDT,sell,0.012,2029.5,24.354,0.012177,USDT
2026-02-09T13:52:02.600Z,ETH/USDT:USDT,sell,0.01,2029.5,20.295,0.0101475,USDT
2026-02-09T13:52:02.600Z,ETH/USDT:USDT,sell,0.017,2029.5,34.5015,0.01725074,USDT
2026-02-09T13:52:03.507Z,SOL/USDT:USDT,sell,0.95,83.85,79.6575,0.03982875,USDT
2026-02-09T13:53:02.181Z,SOL/USDT:USDT,buy,0.95,83.89,79.6955,0.03984775,USDT
2026-02-09T13:53:02.522Z,ETH/USDT:USDT,buy,0.039,2030.68,79.19652,0.03959826,USDT
2026-02-09T13:53:03.278Z,BNB/USDT:USDT,buy,0.03,627.3,18.819,0.0094095,USDT
2026-02-09T13:53:03.278Z,BNB/USDT:USDT,buy,0.12,627.3,75.276,0.037638,USDT
2026-02-09T13:53:04.175Z,ETH/USDT:USDT,sell,0.049,2030.84,99.51116,0.04975558,USDT
2026-02-09T13:53:05.079Z,SOL/USDT:USDT,sell,1.19,83.9,99.841,0.0499205,USDT
2026-02-09T13:55:00.425Z,DOGE/USDT:USDT,buy,214.0,0.09381,20.07534,0.01003767,USDT
2026-02-09T13:59:28.415Z,ETH/USDT:USDT,buy,0.002,2024.07,4.04814,0.00202407,USDT
2026-02-09T13:59:28.415Z,ETH/USDT:USDT,buy,0.02,2024.07,40.4814,0.0202407,USDT
2026-02-09T13:59:28.415Z,ETH/USDT:USDT,buy,0.01,2024.07,20.2407,0.01012035,USDT
2026-02-09T13:59:28.415Z,ETH/USDT:USDT,buy,0.015,2024.07,30.36105,0.01518052,USDT
2026-02-09T13:59:28.415Z,ETH/USDT:USDT,buy,0.002,2024.07,4.04814,0.00202407,USDT
2026-02-09T13:59:44.748Z,SOL/USDT:USDT,buy,0.3,83.75,25.125,0.0125625,USDT
2026-02-09T13:59:44.748Z,SOL/USDT:USDT,buy,0.89,83.75,74.5375,0.03726875,USDT
2026-02-09T14:13:00.490Z,BNB/USDT:USDT,sell,0.15,624.52,93.678,0.046839,USDT
2026-02-09T14:13:02.608Z,SOL/USDT:USDT,sell,1.43,83.62,119.5766,0.0597883,USDT
2026-02-09T14:13:03.520Z,DOGE/USDT:USDT,sell,1282.0,0.09356,119.94392,0.05997196,USDT
2026-02-09T14:14:02.215Z,DOGE/USDT:USDT,buy,1282.0,0.09365,120.0593,0.06002965,USDT
2026-02-09T14:15:01.934Z,SOL/USDT:USDT,buy,0.11,83.87,9.2257,0.00461285,USDT
